New ,R,G,B,#1,R,G,B,#2,R,G,B,#3,R,G,B,#4,R,G,B,#5,R,G,B,#6,R,G,B,#7,R,G,B,#8,R,G,B,#9,R,G,B,#10,R,G,B
B0_G255,0,0,0,B0_G255,0,0,0,B0_G255,0,0,0,B0_G255,0,0,0,B0_G255,0,0,0,B0_G255,0,0,0,B0_G255,0,0,0,B0_G255,0,0,0,B0_G255,0,0,0,B0_G255,0,0,0,B0_G255,0,0,0
B0_G191,0,0,0,B0_G191,0,0,0,B0_G191,0,0,0,B0_G191,0,0,0,B0_G191,0,0,0,B0_G191,0,0,0,B0_G191,0,0,0,B0_G191,0,0,0,B0_G191,0,0,0,B0_G191,0,0,0,B0_G191,0,0,0
B0_G127,0,0,0,B0_G127,0,0,0,B0_G127,0,0,0,B0_G127,0,0,0,B0_G127,0,0,0,B0_G127,0,0,0,B0_G127,0,0,0,B0_G127,0,0,0,B0_G127,0,0,0,B0_G127,0,0,0,B0_G127,0,0,0
B0_G95,0,0,0,B0_G95,0,0,0,B0_G95,0,0,0,B0_G95,0,0,0,B0_G95,0,0,0,B0_G95,0,0,0,B0_G95,0,0,0,B0_G95,0,0,0,B0_G95,0,0,0,B0_G95,0,0,0,B0_G95,0,0,0
B0_G63,0,0,0,B0_G63,0,0,0,B0_G63,0,0,0,B0_G63,0,0,0,B0_G63,0,0,0,B0_G63,0,0,0,B0_G63,0,0,0,B0_G63,0,0,0,B0_G63,0,0,0,B0_G63,0,0,0,B0_G63,0,0,0
B0_G47,0,0,0,B0_G47,0,0,0,B0_G47,0,0,0,B0_G47,0,0,0,B0_G47,0,0,0,B0_G47,0,0,0,B0_G47,0,0,0,B0_G47,0,0,0,B0_G47,0,0,0,B0_G47,0,0,0,B0_G47,0,0,0
B0_G31,0,0,0,B0_G31,0,0,0,B0_G31,0,0,0,B0_G31,0,0,0,B0_G31,0,0,0,B0_G31,0,0,0,B0_G31,0,0,0,B0_G31,0,0,0,B0_G31,0,0,0,B0_G31,0,0,0,B0_G31,0,0,0
B0_G23,0,0,0,B0_G23,0,0,0,B0_G23,0,0,0,B0_G23,0,0,0,B0_G23,0,0,0,B0_G23,0,0,0,B0_G23,0,0,0,B0_G23,0,0,0,B0_G23,0,0,0,B0_G23,0,0,0,B0_G23,0,0,0
B0_G15,0,0,0,B0_G15,0,0,0,B0_G15,0,0,0,B0_G15,0,0,0,B0_G15,0,0,0,B0_G15,0,0,0,B0_G15,0,0,0,B0_G15,0,0,0,B0_G15,0,0,0,B0_G15,0,0,0,B0_G15,0,0,0
B0_G7,0,0,0,B0_G7,0,0,0,B0_G7,0,0,0,B0_G7,0,0,0,B0_G7,0,0,0,B0_G7,0,0,0,B0_G7,0,0,0,B0_G7,0,0,0,B0_G7,0,0,0,B0_G7,0,0,0,B0_G7,0,0,0
B0_G2,0,0,0,B0_G2,0,0,0,B0_G2,0,0,0,B0_G2,0,0,0,B0_G2,0,0,0,B0_G2,0,0,0,B0_G2,0,0,0,B0_G2,0,0,0,B0_G2,0,0,0,B0_G2,0,0,0,B0_G2,0,0,0
B1_G255,217.7922321,217.2615841,217.3909087,B1_G255,217.7922321,217.2615841,217.3909087,B1_G255,217.7922321,217.2615841,217.3909087,B1_G255,217.7922321,217.2615841,217.3909087,B1_G255,217.7922321,217.2615841,217.3909087,B1_G255,217.4824651,217.2350973,217.5179585,B1_G255,217.4824651,217.2350973,217.5179585,B1_G255,217.4824651,217.2350973,217.5179585,B1_G255,217.4824651,217.2350973,217.5179585,B1_G255,217.4824651,217.2350973,217.5179585,B1_G255,217.4824651,217.2350973,217.5179585
